stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1477,1477,PELHAM RD @ A&P,,40.897743,-73.777989,,,,,,0
1478,1478,PELHAM RD @ LELAND AVE,,40.899177,-73.777963,,,,,,0
1479,1479,PELHAM RD @ CENTRE AVE,,40.900742,-73.777357,,,,,,0
1481,1481,PELHAM RD @ NORTH AVE,,40.903988,-73.775224,,,,,,0
1482,1482,PELHAM RD @ HUDSON PARK DR,,40.905475,-73.774054,,,,,,0
1483,1483,FRANKLIN AVE @ SOUNDVIEW ST,,40.908228,-73.775938,,,,,,0
1484,1484,FRANKLIN AVE @ BAYVIEW AVE,,40.909257,-73.776919,,,,,,0
1485,1485,FRANKLIN AVE @ MAIN ST,,40.910752,-73.778329,,,,,,0
1486,1486,MAIN ST @ FRANKLIN AVE,,40.91093,-73.778181,,,,,,0
1487,1487,HARRISON ST @ FOUNTAIN PL,,40.912059,-73.77846,,,,,,0
1488,1488,HUGUENOT ST @ HARRISON ST,,40.913175,-73.779729,,,,,,0
1490,1490,MAIN ST @ NORTH AVE,,40.909686,-73.780139,,,,,,0
1492,1492,NORTH AVE @ GARDEN ST,,40.913966,-73.784061,,,,,,0
1494,1494,NORTH AVE @ THE BOULEVARD,NORTH AVE & GRAND BOULEVARD,40.916483,-73.785027,,,,,,0
1495,1495,NORTH AVE @ MANOR PL,,40.917799,-73.785819,,,,,,0
1496,1496,NORTH AVE @ WINTHROP AVE,,40.919314,-73.786581,,,,,,0
1497,1497,NORTH AVE @ HAMILTON AVE,,40.920616,-73.787072,,,,,,0
1498,1498,NORTH AVE @ 5TH AVE,,40.921603,-73.787849,,,,,,0
1499,1499,NORTH AVE @ BROOKSIDE PL,,40.923669,-73.787494,,,,,,0
1500,1500,NORTH AVE @ SUMMIT AVE,,40.925349,-73.788358,,,,,,0
1501,1501,NORTH AVE @ EASTCHESTER RD,,40.927785,-73.789356,,,,,,0
1502,1502,NORTH AVE @ FOREST AVE,,40.9299,-73.790083,,,,,,0
1503,1503,NORTH AVE @ BROADVIEW AVE,,40.932966,-73.791121,,,,,,0
